Thornton, Colorado, 130307
New Haven, Connecticut, 130282
Waco, Texas, 130194
Charleston, South Carolina, 130113
Thousand Oaks, California, 129342
Visalia, California, 129281
Cedar Rapids, Iowa, 129195
Elizabeth, New Jersey, 128705
Roseville, California, 128615
Gainesville, Florida, 128460
Carrollton, Texas, 128353
Stamford, Connecticut, 128278
Denton, Texas, 128205
Midland, Texas, 128037
Coral Springs, Florida, 127952
Concord, California, 127522
Topeka, Kansas, 127215
Simi Valley, California, 126871
Surprise, Arizona, 126275
Lafayette, Louisiana, 126066
Kent, Washington, 125560
Hartford, Connecticut, 124705
Santa Clara, California, 122192
Victorville, California, 121901
Abilene, Texas, 120958
Murfreesboro, Tennessee, 120954
Evansville, Indiana, 120346
Vallejo, California, 120228
Athens, Georgia, 119648
Allentown, Pennsylvania, 119104
Berkeley, California, 118853
Norman, Oklahoma, 118040
Ann Arbor, Michigan, 117770
Beaumont, Texas, 117585
Independence, Missouri, 117494
Columbia, Missouri, 116906
Springfield, Illinois, 116809
El Monte, California, 116631
Fargo, North Dakota, 115863
Peoria, Illinois, 115828
Provo, Utah, 114801
Lansing, Michigan, 114620
Odessa, Texas, 114597
Downey, California, 114172
Wilmington, North Carolina, 113657
Arvada, Colorado, 113574
Costa Mesa, California, 112784
Round Rock, Texas, 112744
Carlsbad, California, 112299
Miami Gardens, Florida, 112265
Westminster, Colorado, 112090
Inglewood, California, 111905
Rochester, Minnesota, 111402
Fairfield, California, 111125
Elgin, Illinois, 111117
West Jordan, Utah, 110920
Clearwater, Florida, 110703
Manchester, New Hampshire, 110448
Lowell, Massachusetts, 109945
Gresham, Oregon, 109892
Cambridge, Massachusetts, 109694
Ventura, California, 109484
Temecula, California, 109428
Waterbury, Connecticut, 109307
Antioch, California, 108930
Billings, Montana, 108869
High Point, North Carolina, 108629
Richardson, Texas, 108617
Richmond, California, 108565
West Covina, California, 108455
Pueblo, Colorado, 108423
Murrieta, California, 108368
Centennial, Colorado, 107201
Norwalk, California, 107096
North Charleston, South Carolina, 106749
Everett, Washington, 106736
Pompano Beach, Florida, 106105
Daly City, California, 106094
Palm Bay, Florida, 105838
Burbank, California, 105368
Wichita Falls, Texas, 105114
Boulder, Colorado, 105112
Green Bay, Wisconsin, 104891
Broken Arrow, Oklahoma, 104726
West Palm Beach, Florida, 104031
College Station, Texas, 103483
Pearland, Texas, 103441
Santa Maria, California, 103410
El Cajon, California, 103091
San Mateo, California, 102893
Lewisville, Texas, 102889
Rialto, California, 102741
Davenport, Iowa, 102448
Lakeland, Florida, 102346
Clovis, California, 102189
Edison, New Jersey, 101970
Sandy Springs, Georgia, 101908
Tyler, Texas, 101421
Las Cruces, New Mexico, 101408
South Bend, Indiana, 101190
Woodbridge, New Jersey, 100824
